product_name,product_img_url,product_url,product_price_min,product_short_description
"Tubino Bracelet - Orange",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/s/k/sku_italianissimo_orange.jpg,https://www.thegrommet.com/products/italianissimo-tubino-sportivo-bracelet-orange,11.2,"Combine sleek, satiny tubes with striking metal beads for jewelry that adapts to your changing mood and style. Colorful, fun, and customizable, TUBINO links up to make chokers, bracelets, belts—whatever you need to complete your look."
"On-The-Go Ring Cleaner",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/6/3679-s-101_bst.jpeg,https://www.thegrommet.com/products/ringo-on-the-go-ring-cleaner,14.95,"Ringo: On-The-Go Ring Cleaner - Red"
"Frog Prince Ringholder",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/s/k/skucover_frog_ringholder_lucinak.jpg,https://www.thegrommet.com/products/lucina-k-frog-prince-ringholder,19,"If you’re in the habit of taking your rings off—to do dishes, say, or work out—make it a habit to place them on a Lucina K. pewter ring holder. Founder Lori Strickland designs the ring holders herself, then has them sculpted in wax and cast in 100% lead- and cadmium-free American pewter."
"Anti-Tangle Necklace Organizer",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/2/3217-CON-100_BST.jpg,https://www.thegrommet.com/products/lasso-anti-tangle-necklace-organizer,18.95,"Lasso: Anti-Tangle Necklace Organizer - Pearl"
"2 Daily Accessory Organizers",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/s/k/skucover_jewelinx.jpg,https://www.thegrommet.com/products/jewelinx-tm-2pk,19.95,"Jewelinx is a jewelry hanger organizer that lets you put jewelry, scarves, ties, belts, cufflinks, and other accessories on the same hanger as the clothes they go with. Try out a look without trying it on. Also perfect for travel, Jewelinx keeps all the pieces of a fully accessorized outfit together so you can get dressed and out the door on time."
"Forget-me-not Hexagon Stud Earrings",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/F/o/FoundKeptJewelry-20220218005341-PXL202202171934183342.jpg,https://www.thegrommet.com/products/forget-me-not-hexagon-stud-earrings,22,"Found Kept Jewelry: Forget-me-not Hexagon Stud Earrings"
"Flower Leaf Hexagon Stud Earrings",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/F/o/FoundKeptJewelry-20220217235717-IMG6125.JPG,https://www.thegrommet.com/products/flower-leaf-hexagon-stud-earrings,22,"Found Kept Jewelry: Hexagon Blush, Purple, and Gold Leaf Studs - Gold"
"Authentic Stamp Earrings",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/p/o/postali_life_ear.jpg,https://www.thegrommet.com/products/postali-authentic-stamp-earrings,22,"Postali: Dangle Earrings - Japan"
"Aluminum Hair Tie Bracelet - Athleisure Design",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/1/8/1899-CON-800_BST.jpg,https://www.thegrommet.com/products/aluminum-hair-tie-bracelet-athleisure-design,21.95,"bittersweet: Aluminum Hair Tie Bracelet - Athleisure Design - Black"
"Melon Seed Bracelet",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/5/3559-CON-300_BST_1.jpg,https://www.thegrommet.com/products/artyfactos-melon-seed-bracelet,22,"Artyfactos: Melon Seed Bracelet - Orange"
"Good Karma Bracelet",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/7/3773-CON-100_BST.jpg,https://www.thegrommet.com/products/scout-curated-wears-good-karma-bracelet,24,"Scout Curated Wears: Good Karma Bracelet - Gratitude"
"Recycled Magnetic Locket",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/p/o/polarity_2.jpg,https://www.thegrommet.com/products/polarity-recycled-magnetic-locket-1,24,"Handcrafted indie style locket (1" diameter) made from recycled steel auto parts. Adjustable 30" long ball chain. Set includes 3 interchangeable lid designs. Packaged in round metal tin and tucked into natural cotton drawstring bag, perfect for gift giving or storage. Wish Design/Six Cats"
"Molecule Pendant Necklace - Benzene",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/0/3032-S-106_BST.jpg,https://www.thegrommet.com/products/sorcery-science-molecule-pendant-necklace-benzene,23.96,"A handcrafted science necklace is a striking way to make a subtle statement. Molecules star in these chemistry-inspired pieces created by a science teacher. Each bears a scientifically accurate—and lovely-looking—compound in stainless steel. It’s a slyly personal piece with meaning explained in an included card. Give one as a dose of something needed or to showcase a love of all things science. Made in the USA."
"Folding Reading Glasses Pendant Necklace",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/0/3023-CON-100_BST_1.jpg,https://www.thegrommet.com/products/neckglasses-necklace-reading-glasses,25,"Neckglasses: Necklace Reading Glasses - 3.0"
"Cast Heart Charm",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/U/N/UNKNOWN-20211109144815-PewterCastHeartNecklaceadobespark.jpg,https://www.thegrommet.com/products/cast-heart-charm,25,"CHART Metalworks: Cast Heart Charm - Necklace"
"Finished Products",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/s/k/skucover_heartpendant_steamytech.jpg,https://www.thegrommet.com/products/steamy-tech-finished-products,25,"SteamyTech’s series of decorative art pieces are completed versions of their DIY kits that introduce The Grommet to growing world of Steampunk. Every piece is made in the USA from laser-cut wood and incorporates movable wooden gears that are a signature of Steampunk design."
"Hometown Love",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/1/7/1777-CON-400_BST_1.jpg,https://www.thegrommet.com/products/the-vintage-pearl-hometownlove,26,"The Vintage Pearl: Hometown Love Charm - Tennessee"
"Birth Month Flower Necklace + 1 Pendant",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/1/5/154603207_740126783365982_4586524194784880606_n.jpg,https://www.thegrommet.com/products/birth-month-flower-necklace-1,26.95,"Vintage Stamp Jewels: Birth Month Flower Necklace + 1 Pendant - Gold"
"Nature-Inspired Silhouette Necklace",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/C/l/Close2URHeart-20210913192515-ITWCATwhitebckgd.jpg,https://www.thegrommet.com/products/close-2-ur-heart-nature-inspired-silhouette-necklace,28,"Close 2 UR Heart: Nature-Inspired Silhouette Necklace - Birds"
"Music-Inspired Silhouette Necklace",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/4/3448-CON-200_BST.jpg,https://www.thegrommet.com/products/close-2-ur-heart-music-inspired-silhouette-necklace,28,"Close 2 UR Heart designs unique jewelry to express your personality and interests. Choose a pendant that represents what you love–whether that’s a person, place, or memory that you hold dear."
"Outdoor Activities-Inspired Necklace",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/4/3448-CON-300_3.jpg,https://www.thegrommet.com/products/close-2-ur-heart-outdoor-activities-inspired-necklace,28,"Close 2 UR Heart: Outdoor Activities Inspired Necklace - Bicycle"
"Religious Holiday-Inspired Silhouette Necklace",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/4/3448-CON-400_BST.jpg,https://www.thegrommet.com/products/close-2-ur-heart-religious-holiday-inspired-necklace,28,"Close 2 UR Heart: Religious Holiday-Inspired Necklace - Nativity"
"Bead & Etched Metal Scout Wrap Bracelet",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/7/3773-CON-200_BST.jpg,https://www.thegrommet.com/products/scout-curated-wears-bead-and-etched-metal-scout-wrap-bracelet,28,"The bead and etched metal wrap can be worn around your wrist or neck. Each wrap features a variety of crystal beads and plated brass, then placed in packaging personalized with inspiring quotes."
"Authentic Stamp Necklaces",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/p/o/postali_ly_neck_1.jpg,https://www.thegrommet.com/products/postali-authentic-stamp-necklaces,28,"Postali: Triple Pendant Necklace - America"
"Folding Rectangle Reading Glasses",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/0/3023-con-200_bst.jpg,https://www.thegrommet.com/products/neckglasses-foldable-reading-glasses-rectangle,29.95,"Neckglasses: Rectangle Foldable Reading Glasses - 1.75"
"Folding Half-Moon Reading Glasses",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/0/3023-CON-300_BST_2.jpg,https://www.thegrommet.com/products/neckglasses-foldable-reading-glasses-half-moon,29.95,"Neckglasses: Half Moon Foldable Reading Glasses - 2.00"
"Melon Seed Necklace",https://cdn.thegrommet.com/media/catalog/resized/product/fill_w-762_h-572_bg-%23ffffff/3/5/3559-CON-200_BST_1.jpg,https://www.thegrommet.com/products/artyfactos-melon-seed-necklace,30,"Artyfactos: Melon Seed Necklace - Turquoise"
